Mod:Item:MetaData, Localized Name
atum:kiln, Kiln
atum:kiln_fake, Kiln
atum:burning_trap, Burning Trap
atum:poison_trap, Poison Trap
atum:tar_trap, Tar Trap
atum:smoke_trap, Smoke Trap
atum:arrow_trap, Arrow Trap
atum:sarcophagus, Sarcophagus
atum:limestone_chest, Limestone Chest
atum:gold_ore, Gold Ore
atum:iron_ore, Iron Ore
atum:coal_ore, Coal Ore
atum:lapis_ore, Lapis Ore
atum:diamond_ore, Diamond Ore
atum:emerald_ore, Emerald Ore
atum:redstone_ore, Redstone Ore
atum:lit_redstone_ore, Redstone Ore
atum:bone_ore, Bone Ore
atum:relic_ore, Relic Ore
atum:khnumite_raw, Raw Khnumite
atum:dirty_bone_block, Dirty Bone Block
atum:dirty_bone_slab, Dirty Bone Slab
atum:bone_ladder, Bone Ladder
atum:limestone_furnace, Limestone Furnace
atum:limestone_furnace_lit, Limestone Furnace
atum:palm_torch, Palm Torch
atum:deadwood_torch, Deadwood Torch
atum:limestone_torch, Limestone Torch
atum:bone_torch, Bone Torch
atum:pharaoh_torch, Royal Torch
atum:palm_torch_unlit, Unlit Palm Torch
atum:deadwood_torch_unlit, Unlit Deadwood Torch
atum:limestone_torch_unlit, Unlit Limestone Torch
atum:bone_torch_unlit, Unlit Bone Torch
atum:pharaoh_torch_unlit, Unlit Royal Torch
atum:limestone_gravel, Limestone Gravel
atum:marl, Marl
atum:ra_stone, Ra Stone
atum:limestone_cracked, Cracked Limestone
atum:limestone, Limestone
atum:limestone_brick_small, Small Limestone Bricks
atum:limestone_brick_large, Large Limestone Bricks
atum:limestone_brick_cracked_brick, Cracked Limestone Bricks
atum:limestone_brick_chiseled, Chiseled Limestone Bricks
atum:limestone_brick_carved, Carved Limestone Bricks
atum:limestone_smooth_slab, Smooth Limestone Slab
atum:limestone_cracked_slab, Cracked Limestone Slab
atum:limestone_small_slab, Small Limestone Bricks Slab
atum:limestone_large_slab, Large Limestone Bricks Slab
atum:limestone_cracked_brick_slab, Cracked Limestone Bricks Slab
atum:limestone_chiseled_slab, Chiseled Limestone Bricks Slab
atum:limestone_carved_slab, Carved Limestone Bricks Slab
atum:khnumite_block, Khnumite Block
atum:khnumite_face, Khnumite Face
atum:smooth_stairs, Limestone Stairs
atum:cracked_stairs, Cracked Limestone Stairs
atum:small_stairs, Limestone Small Brick Stairs
atum:large_stairs, Limestone Large Brick Stairs
atum:cracked_brick_stairs, Limestone Cracked Brick Stairs
atum:chiseled_stairs, Limestone Chiseled Brick Stairs
atum:carved_stairs, Limestone Carved Brick Stairs
atum:limestone_wall, Smooth Limestone Wall
atum:limestone_cracked_wall, Cracked Limestone Wall
atum:small_wall, Small Limestone Brick Wall
atum:large_wall, Large Limestone Brick Wall
atum:cracked_brick_wall, Limestone Cracked Brick Wall
atum:chiseled_wall, Limestone Chiseled Brick Wall
atum:carved_wall, Limestone Carved Brick Wall
atum:limestone_door, Limestone Door
atum:limestone_cracked_door, Cracked Limestone Door
atum:limestone_brick_small_door, Small Limestone Bricks Door
atum:limestone_brick_large_door, Large Limestone Bricks Door
atum:limestone_brick_cracked_brick_door, Cracked Limestone Bricks Door
atum:limestone_brick_chiseled_door, Chiseled Limestone Bricks Door
atum:limestone_brick_carved_door, Carved Limestone Bricks Door
atum:alabaster, Alabaster
atum:alabaster_brick_smooth, Smooth Alabaster
atum:alabaster_brick_polished, Polished Alabaster Brick
atum:alabaster_brick_carved, Carved Alabaster Brick
atum:alabaster_brick_tiled, Tiled Alabaster Brick
atum:alabaster_brick_pillar, Pillar Alabaster Brick
atum:alabaster_smooth_slab, Smooth Alabaster Slab
atum:alabaster_polished_slab, Polished Alabaster Slab
atum:alabaster_carved_slab, Carved Alabaster Slab
atum:alabaster_tiled_slab, Tiled Alabaster Slab
atum:alabaster_pillar_slab, Pillar Alabaster Slab
atum:alabaster_smooth_stairs, Smooth Alabaster Stairs
atum:alabaster_polished_stairs, Polished Alabaster Stairs
atum:alabaster_carved_stairs, Carved Alabaster Stairs
atum:alabaster_tiled_stairs, Tiled Alabaster Stairs
atum:alabaster_pillar_stairs, Pillar Alabaster Stairs
atum:alabaster_smooth_wall, Smooth Alabaster Wall
atum:alabaster_polished_wall, Polished Alabaster Wall
atum:alabaster_carved_wall, Carved Alabaster Wall
atum:alabaster_tiled_wall, Tiled Alabaster Wall
atum:alabaster_pillar_wall, Pillar Alabaster Wall
atum:porphyry, Porphyry
atum:porphyry_brick_smooth, Smooth Porphyry
atum:porphyry_brick_polished, Polished Porphyry Brick
atum:porphyry_brick_carved, Carved Porphyry Brick
atum:porphyry_brick_tiled, Tiled Porphyry Brick
atum:porphyry_brick_pillar, Pillar Porphyry Brick
atum:porphyry_smooth_slab, Smooth Porphyry Slab
atum:porphyry_polished_slab, Polished Porphyry Slab
atum:porphyry_carved_slab, Carved Porphyry Slab
atum:porphyry_tiled_slab, Tiled Porphyry Slab
atum:porphyry_pillar_slab, Pillar Porphyry Slab
atum:porphyry_smooth_stairs, Smooth Porphyry Stairs
atum:porphyry_polished_stairs, Polished Porphyry Stairs
atum:porphyry_carved_stairs, Carved Porphyry Stairs
atum:porphyry_tiled_stairs, Tiled Porphyry Stairs
atum:porphyry_pillar_stairs, Pillar Porphyry Stairs
atum:porphyry_smooth_wall, Smooth Porphyry Wall
atum:porphyry_polished_wall, Polished Porphyry Wall
atum:porphyry_carved_wall, Carved Porphyry Wall
atum:porphyry_tiled_wall, Tiled Porphyry Wall
atum:porphyry_pillar_wall, Pillar Porphyry Wall
atum:ceramic_white, White Ceramic Tile Block
atum:ceramic_orange, Orange Ceramic Tile Block
atum:ceramic_magenta, Magenta Ceramic Tile Block
atum:ceramic_light_blue, Light Blue Ceramic Tile Block
atum:ceramic_yellow, Yellow Ceramic Tile Block
atum:ceramic_lime, Lime Ceramic Tile Block
atum:ceramic_pink, Pink Ceramic Tile Block
atum:ceramic_gray, Gray Ceramic Tile Block
atum:ceramic_silver, Silver Ceramic Tile Block
atum:ceramic_cyan, Cyan Ceramic Tile Block
atum:ceramic_purple, Purple Ceramic Tile Block
atum:ceramic_blue, Blue Ceramic Tile Block
atum:ceramic_brown, Brown Ceramic Tile Block
atum:ceramic_green, Green Ceramic Tile Block
atum:ceramic_red, Red Ceramic Tile Block
atum:ceramic_black, Black Ceramic Tile Block
atum:ceramic_slab_white, White Ceramic Tile Slab
atum:ceramic_slab_orange, Orange Ceramic Tile Slab
atum:ceramic_slab_magenta, Magenta Ceramic Tile Slab
atum:ceramic_slab_light_blue, Light Blue Ceramic Tile Slab
atum:ceramic_slab_yellow, Yellow Ceramic Tile Slab
atum:ceramic_slab_lime, Lime Ceramic Tile Slab
atum:ceramic_slab_pink, Pink Ceramic Tile Slab
atum:ceramic_slab_gray, Gray Ceramic Tile Slab
atum:ceramic_slab_silver, Silver Ceramic Tile Slab
atum:ceramic_slab_cyan, Cyan Ceramic Tile Slab
atum:ceramic_slab_purple, Purple Ceramic Tile Slab
atum:ceramic_slab_blue, Blue Ceramic Tile Slab
atum:ceramic_slab_brown, Brown Ceramic Tile Slab
atum:ceramic_slab_green, Green Ceramic Tile Slab
atum:ceramic_slab_red, Red Ceramic Tile Slab
atum:ceramic_slab_black, Black Ceramic Tile Slab
atum:ceramic_tile_white, White Ceramic Tile
atum:ceramic_tile_orange, Orange Ceramic Tile
atum:ceramic_tile_magenta, Magenta Ceramic Tile
atum:ceramic_tile_light_blue, Light Blue Ceramic Tile
atum:ceramic_tile_yellow, Yellow Ceramic Tile
atum:ceramic_tile_lime, Lime Ceramic Tile
atum:ceramic_tile_pink, Pink Ceramic Tile
atum:ceramic_tile_gray, Gray Ceramic Tile
atum:ceramic_tile_silver, Silver Ceramic Tile
atum:ceramic_tile_cyan, Cyan Ceramic Tile
atum:ceramic_tile_purple, Purple Ceramic Tile
atum:ceramic_tile_blue, Blue Ceramic Tile
atum:ceramic_tile_brown, Brown Ceramic Tile
atum:ceramic_tile_green, Green Ceramic Tile
atum:ceramic_tile_red, Red Ceramic Tile
atum:ceramic_tile_black, Black Ceramic Tile
atum:ceramic_stairs_white, White Ceramic Tile Stairs
atum:ceramic_stairs_orange, Orange Ceramic Tile Stairs
atum:ceramic_stairs_magenta, Magenta Ceramic Tile Stairs
atum:ceramic_stairs_light_blue, Light Blue Ceramic Tile Stairs
atum:ceramic_stairs_yellow, Yellow Ceramic Tile Stairs
atum:ceramic_stairs_lime, Lime Ceramic Tile Stairs
atum:ceramic_stairs_pink, Pink Ceramic Tile Stairs
atum:ceramic_stairs_gray, Gray Ceramic Tile Stairs
atum:ceramic_stairs_silver, Silver Ceramic Tile Stairs
atum:ceramic_stairs_cyan, Cyan Ceramic Tile Stairs
atum:ceramic_stairs_purple, Purple Ceramic Tile Stairs
atum:ceramic_stairs_blue, Blue Ceramic Tile Stairs
atum:ceramic_stairs_brown, Brown Ceramic Tile Stairs
atum:ceramic_stairs_green, Green Ceramic Tile Stairs
atum:ceramic_stairs_red, Red Ceramic Tile Stairs
atum:ceramic_stairs_black, Black Ceramic Tile Stairs
atum:ceramic_wall_white, White Ceramic Tile Wall
atum:ceramic_wall_orange, Orange Ceramic Tile Wall
atum:ceramic_wall_magenta, Magenta Ceramic Tile Wall
atum:ceramic_wall_light_blue, Light Blue Ceramic Tile Wall
atum:ceramic_wall_yellow, Yellow Ceramic Tile Wall
atum:ceramic_wall_lime, Lime Ceramic Tile Wall
atum:ceramic_wall_pink, Pink Ceramic Tile Wall
atum:ceramic_wall_gray, Gray Ceramic Tile Wall
atum:ceramic_wall_silver, Silver Ceramic Tile Wall
atum:ceramic_wall_cyan, Cyan Ceramic Tile Wall
atum:ceramic_wall_purple, Purple Ceramic Tile Wall
atum:ceramic_wall_blue, Blue Ceramic Tile Wall
atum:ceramic_wall_brown, Brown Ceramic Tile Wall
atum:ceramic_wall_green, Green Ceramic Tile Wall
atum:ceramic_wall_red, Red Ceramic Tile Wall
atum:ceramic_wall_black, Black Ceramic Tile Wall
atum:radiant_beacon, Radiant Beacon
atum:radiant_beacon_framed, Radiant Beacon
atum:crystal_glass, Crystal Glass
atum:crystal_white_stained_glass, White Stained Crystal Glass
atum:crystal_orange_stained_glass, Orange Stained Crystal Glass
atum:crystal_magenta_stained_glass, Magenta Stained Crystal Glass
atum:crystal_light_blue_stained_glass, Light Blue Stained Crystal Glass
atum:crystal_yellow_stained_glass, Yellow Stained Crystal Glass
atum:crystal_lime_stained_glass, Lime Stained Crystal Glass
atum:crystal_pink_stained_glass, Pink Stained Crystal Glass
atum:crystal_gray_stained_glass, Gray Stained Crystal Glass
atum:crystal_silver_stained_glass, Silver Stained Crystal Glass
atum:crystal_cyan_stained_glass, Cyan Stained Crystal Glass
atum:crystal_purple_stained_glass, Purple Stained Crystal Glass
atum:crystal_blue_stained_glass, Blue Stained Crystal Glass
atum:crystal_brown_stained_glass, Brown Stained Crystal Glass
atum:crystal_green_stained_glass, Green Stained Crystal Glass
atum:crystal_red_stained_glass, Red Stained Crystal Glass
atum:crystal_black_stained_glass, Black Stained Crystal Glass
atum:thin_crystal_glass, Thin Crystal Glass
atum:thin_crystal_white_stained_glass, White Stained Thin Crystal Glass
atum:thin_crystal_orange_stained_glass, Orange Stained Thin Crystal Glass
atum:thin_crystal_magenta_stained_glass, Magenta Stained Thin Crystal Glass
atum:thin_crystal_light_blue_stained_glass, Light Blue Stained Thin Crystal Glass
atum:thin_crystal_yellow_stained_glass, Yellow Stained Thin Crystal Glass
atum:thin_crystal_lime_stained_glass, Lime Stained Thin Crystal Glass
atum:thin_crystal_pink_stained_glass, Pink Stained Thin Crystal Glass
atum:thin_crystal_gray_stained_glass, Gray Stained Thin Crystal Glass
atum:thin_crystal_silver_stained_glass, Silver Stained Thin Crystal Glass
atum:thin_crystal_cyan_stained_glass, Cyan Stained Thin Crystal Glass
atum:thin_crystal_purple_stained_glass, Purple Stained Thin Crystal Glass
atum:thin_crystal_blue_stained_glass, Blue Stained Thin Crystal Glass
atum:thin_crystal_brown_stained_glass, Brown Stained Thin Crystal Glass
atum:thin_crystal_green_stained_glass, Green Stained Thin Crystal Glass
atum:thin_crystal_red_stained_glass, Red Stained Thin Crystal Glass
atum:thin_crystal_black_stained_glass, Black Stained Thin Crystal Glass
atum:framed_glass, Framed Glass
atum:framed_white_stained_glass, White Stained Framed Glass
atum:framed_orange_stained_glass, Orange Stained Framed Glass
atum:framed_magenta_stained_glass, Magenta Stained Framed Glass
atum:framed_light_blue_stained_glass, Light Blue Stained Framed Glass
atum:framed_yellow_stained_glass, Yellow Stained Framed Glass
atum:framed_lime_stained_glass, Lime Stained Framed Glass
atum:framed_pink_stained_glass, Pink Stained Framed Glass
atum:framed_gray_stained_glass, Gray Stained Framed Glass
atum:framed_silver_stained_glass, Silver Stained Framed Glass
atum:framed_cyan_stained_glass, Cyan Stained Framed Glass
atum:framed_purple_stained_glass, Purple Stained Framed Glass
atum:framed_blue_stained_glass, Blue Stained Framed Glass
atum:framed_brown_stained_glass, Brown Stained Framed Glass
atum:framed_green_stained_glass, Green Stained Framed Glass
atum:framed_red_stained_glass, Red Stained Framed Glass
atum:framed_black_stained_glass, Black Stained Framed Glass
atum:thin_framed_glass, Thin Framed Glass
atum:thin_framed_white_stained_glass, White Stained Thin Framed Glass
atum:thin_framed_orange_stained_glass, Orange Stained Thin Framed Glass
atum:thin_framed_magenta_stained_glass, Magenta Stained Thin Framed Glass
atum:thin_framed_light_blue_stained_glass, Light Blue Stained Thin Framed Glass
atum:thin_framed_yellow_stained_glass, Yellow Stained Thin Framed Glass
atum:thin_framed_lime_stained_glass, Lime Stained Thin Framed Glass
atum:thin_framed_pink_stained_glass, Pink Stained Thin Framed Glass
atum:thin_framed_gray_stained_glass, Gray Stained Thin Framed Glass
atum:thin_framed_silver_stained_glass, Silver Stained Thin Framed Glass
atum:thin_framed_cyan_stained_glass, Cyan Stained Thin Framed Glass
atum:thin_framed_purple_stained_glass, Purple Stained Thin Framed Glass
atum:thin_framed_blue_stained_glass, Blue Stained Thin Framed Glass
atum:thin_framed_brown_stained_glass, Brown Stained Thin Framed Glass
atum:thin_framed_green_stained_glass, Green Stained Thin Framed Glass
atum:thin_framed_red_stained_glass, Red Stained Thin Framed Glass
atum:thin_framed_black_stained_glass, Black Stained Thin Framed Glass
atum:linen_white, White Linen
atum:linen_orange, Orange Linen
atum:linen_magenta, Magenta Linen
atum:linen_light_blue, Light Blue Linen
atum:linen_yellow, Yellow Linen
atum:linen_lime, Lime Linen
atum:linen_pink, Pink Linen
atum:linen_gray, Gray Linen
atum:linen_silver, Silver Linen
atum:linen_cyan, Cyan Linen
atum:linen_purple, Purple Linen
atum:linen_blue, Blue Linen
atum:linen_brown, Brown Linen
atum:linen_green, Green Linen
atum:linen_red, Red Linen
atum:linen_black, Black Linen
atum:linen_carpet_white, White Linen Carpet
atum:linen_carpet_orange, Orange Linen Carpet
atum:linen_carpet_magenta, Magenta Linen Carpet
atum:linen_carpet_light_blue, Light Blue Linen Carpet
atum:linen_carpet_yellow, Yellow Linen Carpet
atum:linen_carpet_lime, Lime Linen Carpet
atum:linen_carpet_pink, Pink Linen Carpet
atum:linen_carpet_gray, Gray Linen Carpet
atum:linen_carpet_silver, Silver Linen Carpet
atum:linen_carpet_cyan, Cyan Linen Carpet
atum:linen_carpet_purple, Purple Linen Carpet
atum:linen_carpet_blue, Blue Linen Carpet
atum:linen_carpet_brown, Brown Linen Carpet
atum:linen_carpet_green, Green Linen Carpet
atum:linen_carpet_red, Red Linen Carpet
atum:linen_carpet_black, Black Linen Carpet
atum:palm_planks, Palm Planks
atum:deadwood_planks, Deadwood Planks
atum:palm_log, Palm Wood
atum:deadwood_log, Deadwood Log
atum:deadwood_branch, Deadwood Branch
atum:palm_stairs, Palm Stairs
atum:deadwood_stairs, Deadwood Stairs
atum:palm_slab, Palm Wood Slab
atum:deadwood_slab, Deadwood Slab
atum:palm_sapling, Palm Sapling
atum:palm_leaves, Palm Leaves
atum:deadwood_leaves, Deadwood Leaves
atum:palm_crate, Palm Crate
atum:deadwood_crate, Deadwood Crate
atum:palm_ladder, Palm Ladder
atum:deadwood_ladder, Deadwood Ladder
atum:palm_fence, Palm Fence
atum:deadwood_fence, Deadwood Fence
atum:palm_fence_gate, Palm Fence Gate
atum:deadwood_fence_gate, Deadwood Fence Gate
atum:palm_hatch, Palm Hatch
atum:deadwood_hatch, Deadwood Hatch
atum:palm_door, Palm Door
atum:deadwood_door, Deadwood Door
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
thaumcraft:vishroom, Vishroom
thaumcraft:plank_greatwood, Greatwood Planks
thaumcraft:plank_silverwood, Silverwood Planks
thaumcraft:stairs_greatwood, Greatwood Stairs
thaumcraft:stairs_silverwood, Silverwood Stairs
thaumcraft:slab_greatwood:0, Greatwood Slab
thaumcraft:slab_silverwood:0, Silverwood Slab
thaumcraft:amber_block, Amber Block
thaumcraft:amber_brick, Amber Bricks
thaumcraft:flesh_block, Block of Flesh
thaumcraft:loot_crate_common, Common Crate
thaumcraft:loot_crate_uncommon, Uncommon Crate
thaumcraft:loot_crate_rare, Rare Crate
thaumcraft:loot_urn_common, Common Urn
thaumcraft:loot_urn_uncommon, Uncommon Urn
thaumcraft:loot_urn_rare, Rare Urn
thaumcraft:taint_fibre, Fibrous Taint
thaumcraft:taint_crust, Crusted Taint
thaumcraft:taint_soil, Tainted Soil
thaumcraft:taint_rock, Tainted Rock
thaumcraft:taint_geyser, Taint Geyser
thaumcraft:taint_feature, Swollen Taint
thaumcraft:taint_log, Taintwood Log
thaumcraft:grass_ambient, Ambient Grass Block
thaumcraft:table_wood, Wood Table
thaumcraft:table_stone, Stone Table
thaumcraft:pedestal_arcane, Arcane Pedestal
thaumcraft:pedestal_ancient, Ancient Pedestal
thaumcraft:pedestal_eldritch, Eldritch Pedestal
thaumcraft:metal_brass, Brass Block
thaumcraft:metal_thaumium, Thaumium Block
thaumcraft:metal_void, Void Metal Block
thaumcraft:metal_alchemical, Alchemical Construct
thaumcraft:metal_alchemical_advanced, Advanced Alchemical Construct
thaumcraft:paving_stone_travel, Paving Stone of Travel
thaumcraft:paving_stone_barrier, Barrier Stone
thaumcraft:pillar_arcane, Infusion Pillar
thaumcraft:pillar_ancient, Ancient Infusion Pillar
thaumcraft:pillar_eldritch, Eldritch Infusion Pillar
thaumcraft:matrix_speed, Infusion Speed Stone
thaumcraft:matrix_cost, Infusion Cost Stone
thaumcraft:candle_white, White Tallow Candle
thaumcraft:candle_orange, Orange Tallow Candle
thaumcraft:candle_magenta, Magenta Tallow Candle
thaumcraft:candle_lightblue, Light Blue Tallow Candle
thaumcraft:candle_yellow, Yellow Tallow Candle
thaumcraft:candle_lime, Lime Tallow Candle
thaumcraft:candle_pink, Pink Tallow Candle
thaumcraft:candle_gray, Gray Tallow Candle
thaumcraft:candle_silver, Light Gray Tallow Candle
thaumcraft:candle_cyan, Cyan Tallow Candle
thaumcraft:candle_purple, Purple Tallow Candle
thaumcraft:candle_blue, Blue Tallow Candle
thaumcraft:candle_brown, Brown Tallow Candle
thaumcraft:candle_green, Green Tallow Candle
thaumcraft:candle_red, Red Tallow Candle
thaumcraft:candle_black, Black Tallow Candle
thaumcraft:banner_white, White Banner
thaumcraft:banner_orange, Orange Banner
thaumcraft:banner_magenta, Magenta Banner
thaumcraft:banner_lightblue, Light Blue Banner
thaumcraft:banner_yellow, Yellow Banner
thaumcraft:banner_lime, Lime Banner
thaumcraft:banner_pink, Pink Banner
thaumcraft:banner_gray, Gray Banner
thaumcraft:banner_silver, Light Gray Banner
thaumcraft:banner_cyan, Cyan Banner
thaumcraft:banner_purple, Purple Banner
thaumcraft:banner_blue, Blue Banner
thaumcraft:banner_brown, Brown Banner
thaumcraft:banner_green, Green Banner
thaumcraft:banner_red, Red Banner
thaumcraft:banner_black, Black Banner
thaumcraft:banner_crimson_cult, Crimson Cult Banner
thaumcraft:nitor_white, White Nitor
thaumcraft:nitor_orange, Orange Nitor
thaumcraft:nitor_magenta, Magenta Nitor
thaumcraft:nitor_lightblue, Light Blue Nitor
thaumcraft:nitor_yellow, Yellow Nitor
thaumcraft:nitor_lime, Lime Nitor
thaumcraft:nitor_pink, Pink Nitor
thaumcraft:nitor_gray, Gray Nitor
thaumcraft:nitor_silver, Light Gray Nitor
thaumcraft:nitor_cyan, Cyan Nitor
thaumcraft:nitor_purple, Purple Nitor
thaumcraft:nitor_blue, Blue Nitor
thaumcraft:nitor_brown, Brown Nitor
thaumcraft:nitor_green, Green Nitor
thaumcraft:nitor_red, Red Nitor
thaumcraft:nitor_black, Black Nitor
thaumcraft:vis_battery, Vis Battery
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Arcane Workbench
thaumcraft:arcane_workbench_charger, Workbench Charger
thaumcraft:dioptra, Thaumic Dioptra
thaumcraft:research_table, Research Table
thaumcraft:crucible, Crucible
thaumcraft:arcane_ear, Arcane Ear
thaumcraft:arcane_ear_toggle, Arcane Ear (Toggle)
thaumcraft:lamp_arcane, Arcane Lamp
thaumcraft:lamp_fertility, Lamp of Fertility
thaumcraft:lamp_growth, Lamp of Growth  
thaumcraft:levitator, Arcane Levitator
thaumcraft:centrifuge, Essentia Centrifuge
thaumcraft:bellows, Arcane Bellows
thaumcraft:smelter_basic, Essentia Smeltery
thaumcraft:smelter_thaumium, Thaumium Essentia Smeltery
thaumcraft:smelter_void, Void Metal Essentia Smeltery
thaumcraft:smelter_aux, Auxiliary Slurry Pump
thaumcraft:smelter_vent, Auxiliary Venting Port
thaumcraft:alembic, Arcane Alembic
thaumcraft:recharge_pedestal, Recharge Pedestal
thaumcraft:wand_workbench, Focal Manipulator
thaumcraft:hungry_chest, Hungry Chest
thaumcraft:tube, Essentia Tube
thaumcraft:tube_valve, Essentia Valve
thaumcraft:tube_restrict, Restricted Essentia Tube
thaumcraft:tube_oneway, Directional Essentia Tube
thaumcraft:tube_filter, Filtered Essentia Tube
thaumcraft:tube_buffer, Essentia Buffer
thaumcraft:jar_normal, Warded Jar
thaumcraft:jar_void, Void Jar
thaumcraft:jar_brain, Brain in a Jar
thaumcraft:infusion_matrix, Runic Matrix
thaumcraft:infernal_furnace, Infernal Furnace
thaumcraft:everfull_urn, Everfull Urn
thaumcraft:thaumatorium, Thaumatorium
thaumcraft:thaumatorium_top, Thaumatorium
thaumcraft:brain_box, Mnemonic Matrix
thaumcraft:spa, Arcane Spa
thaumcraft:golem_builder, Golem Press
thaumcraft:mirror, Magic Mirror
thaumcraft:mirror_essentia, Essentia Mirror
thaumcraft:essentia_input, Filling Essentia Transfuser
thaumcraft:essentia_output, Emptying Essentia Transfuser
thaumcraft:redstone_relay, Redstone Relay
thaumcraft:pattern_crafter, Arcane Pattern Crafter
thaumcraft:potion_sprayer, Potion Sprayer
thaumcraft:activator_rail, Arcane Activator Rail
thaumcraft:stabilizer, Stabilizer
thaumcraft:vis_generator, Vis Generator
thaumcraft:condenser, Flux Condenser
thaumcraft:condenser_lattice, Flux Condenser Lattice
thaumcraft:condenser_lattice_dirty, Clogged Flux Condenser Lattice
thaumcraft:void_siphon, Void Siphon
thaumcraft:hole, Dimensional Tear
thaumcraft:effect_shock, Static Field
thaumcraft:effect_sap, Sapping Field
thaumcraft:effect_glimmer, Glimmer
thaumcraft:placeholder_brick, Infernal Furnace
thaumcraft:placeholder_obsidian, Infernal Furnace
thaumcraft:placeholder_bars, Golem Press
thaumcraft:placeholder_anvil, Golem Press
thaumcraft:placeholder_cauldron, Golem Press
thaumcraft:placeholder_table, Golem Press
thaumcraft:empty, Empty Space
thaumcraft:barrier, Warding Aura
forge:bucketfilled, %s Bucket
appliedenergistics2:quartz_ore, Certus Quartz Ore
appliedenergistics2:charged_quartz_ore, Charged Certus Quartz Ore
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:sky_stone_chest, Sky Stone Chest
appliedenergistics2:smooth_sky_stone_chest, Sky Stone Block Chest
appliedenergistics2:sky_compass, Meteorite Compass
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:inscriber, Inscriber
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:charger, Charger
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:controller, ME Controller
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:vibration_chamber, Vibration Chamber
appliedenergistics2:quartz_growth_accelerator, Crystal Growth Accelerator
appliedenergistics2:energy_cell, Energy Cell
appliedenergistics2:dense_energy_cell, Dense Energy Cell
appliedenergistics2:creative_energy_cell, Creative Energy Cell
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
